"Código INE" "Municipio" "ADN" "ADN%" "CONDEPA" "CONDEPA%" "LJ" "LJ%" "MAS" "MAS%" "MCC" "MCC%" "MIP" "MIP%" "MIR" "MIR%" "MNR" "MNR%" "NFR" "NFR%" "PS" "PS%" "UCS" "UCS%" "Válidos" "Blancos" "Nulos" "Emitidos"
"021103" "Yanacachi" "19" "1,57" "14" "1,16" "33" "2,73" "408" "33,72" "8" "0,66" "155" "12,81" "153" "12,64" "150" "12,40" "176" "14,55" "49" "4,05" "45" "3,72" "1210" "83" "60" "1353"
"021104" "Palos Blancos" "126" "3,18" "16" "0,40" "63" "1,59" "1847" "46,65" "10" "0,25" "285" "7,20" "550" "13,89" "475" "12,00" "499" "12,60" "17" "0,43" "71" "1,79" "3959" "284" "105" "4348"
"021105" "La Asunta" "29" "0,69" "19" "0,45" "21" "0,50" "2197" "52,00" "6" "0,14" "823" "19,48" "739" "17,49" "108" "2,56" "221" "5,23" "11" "0,26" "51" "1,21" "4225" "159" "102" "4486"
"021201" "Pucarani" "117" "1,33" "59" "0,67" "103" "1,17" "1345" "15,25" "38" "0,43" "4986" "56,54" "695" "7,88" "749" "8,49" "502" "5,69" "62" "0,70" "163" "1,85" "8819" "824" "519" "10162"
"021202" "Laja" "59" "1,03" "59" "1,03" "128" "2,23" "1044" "18,15" "29" "0,50" "2534" "44,06" "466" "8,10" "632" "10,99" "597" "10,38" "34" "0,59" "169" "2,94" "5751" "576" "303" "6630"
"021203" "Batallas" "74" "1,34" "18" "0,33" "87" "1,58" "1070" "19,43" "14" "0,25" "3071" "55,76" "375" "6,81" "371" "6,74" "266" "4,83" "24" "0,44" "138" "2,51" "5508" "418" "262" "6188"
"021204" "Puerto Pérez" "33" "1,29" "14" "0,55" "61" "2,38" "451" "17,63" "12" "0,47" "1434" "56,06" "149" "5,82" "192" "7,51" "141" "5,51" "21" "0,82" "50" "1,95" "2558" "349" "121" "3028"
"021301" "Sica Sica (Villa Aroma)" "75" "1,10" "24" "0,35" "70" "1,03" "2857" "42,02" "58" "0,85" "1209" "17,78" "1278" "18,80" "564" "8,30" "484" "7,12" "37" "0,54" "143" "2,10" "6799" "651" "287" "7737"
"021302" "Umala" "57" "2,20" "13" "0,50" "53" "2,04" "832" "32,06" "10" "0,39" "536" "20,66" "302" "11,64" "300" "11,56" "364" "14,03" "54" "2,08" "74" "2,85" "2595" "285" "92" "2972"
"021303" "Ayo Ayo" "27" "1,21" "12" "0,54" "31" "1,39" "605" "27,17" "15" "0,67" "869" "39,02" "197" "8,85" "157" "7,05" "175" "7,86" "12" "0,54" "127" "5,70" "2227" "186" "108" "2521"
"021304" "Calamarca" "41" "1,16" "25" "0,71" "67" "1,89" "683" "19,31" "11" "0,31" "1655" "46,79" "329" "9,30" "350" "9,90" "259" "7,32" "45" "1,27" "72" "2,04" "3537" "358" "172" "4067"
"021305" "Patacamaya" "73" "1,25" "23" "0,39" "130" "2,23" "1472" "25,25" "33" "0,57" "1122" "19,25" "844" "14,48" "654" "11,22" "802" "13,76" "43" "0,74" "633" "10,86" "5829" "553" "182" "6564"
"021306" "Colquencha" "51" "1,99" "17" "0,66" "94" "3,67" "356" "13,91" "22" "0,86" "763" "29,80" "404" "15,78" "414" "16,17" "290" "11,33" "32" "1,25" "117" "4,57" "2560" "197" "107" "2864"
"021307" "Collana" "24" "2,60" "19" "2,06" "11" "1,19" "239" "25,92" "4" "0,43" "238" "25,81" "59" "6,40" "148" "16,05" "130" "14,10" "23" "2,49" "27" "2,93" "922" "63" "37" "1022"
"021401" "Coroico" "47" "1,23" "29" "0,76" "95" "2,49" "1602" "42,06" "16" "0,42" "258" "6,77" "555" "14,57" "521" "13,68" "611" "16,04" "15" "0,39" "60" "1,58" "3809" "352" "144" "4305"
"021402" "Coripata" "24" "0,57" "31" "0,74" "63" "1,50" "1509" "35,94" "21" "0,50" "251" "5,98" "1660" "39,53" "290" "6,91" "268" "6,38" "24" "0,57" "58" "1,38" "4199" "281" "131" "4611"
"021501" "Ixiamas" "79" "7,89" "5" "0,50" "29" "2,90" "99" "9,89" "3" "0,30" "8" "0,80" "228" "22,78" "304" "30,37" "156" "15,58" "4" "0,40" "86" "8,59" "1001" "79" "24" "1104"
"021502" "San Buenaventura" "61" "4,18" "3" "0,21" "15" "1,03" "179" "12,25" "3" "0,21" "12" "0,82" "404" "27,65" "528" "36,14" "201" "13,76" "4" "0,27" "51" "3,49" "1461" "110" "28" "1599"
"021601" "General Juan José Pérez (Charazani)" "38" "2,11" "8" "0,44" "18" "1,00" "507" "28,12" "8" "0,44" "399" "22,13" "362" "20,08" "285" "15,81" "111" "6,16" "11" "0,61" "56" "3,11" "1803" "319" "191" "2313"
"021602" "Curva" "7" "1,44" "1" "0,21" "13" "2,68" "110" "22,68" "3" "0,62" "142" "29,28" "88" "18,14" "67" "13,81" "44" "9,07" "1" "0,21" "9" "1,86" "485" "68" "40" "593"
"021701" "Copacabana" "73" "1,55" "26" "0,55" "65" "1,38" "1138" "24,09" "40" "0,85" "1522" "32,22" "397" "8,40" "632" "13,38" "619" "13,10" "34" "0,72" "178" "3,77" "4724" "463" "211" "5398"
"021702" "San Pedro de Tiquina" "28" "1,52" "12" "0,65" "111" "6,04" "389" "21,15" "12" "0,65" "564" "30,67" "230" "12,51" "157" "8,54" "286" "15,55" "15" "0,82" "35" "1,90" "1839" "238" "80" "2157"
"021703" "Tito Yupanqui" "16" "3,22" "1" "0,20" "5" "1,01" "127" "25,55" "3" "0,60" "180" "36,22" "64" "12,88" "63" "12,68" "28" "5,63" "3" "0,60" "7" "1,41" "497" "66" "30" "593"
